observation_date,Year,SPPOPGROWUSA
1961-01-01,1961,1.657730037389530
1962-01-01,1962,1.537997358253870
1963-01-01,1963,1.439164761706830
1964-01-01,1964,1.389046055183690
1965-01-01,1965,1.250171645628450
1966-01-01,1966,1.154893190755200
1967-01-01,1967,1.088881207287620
1968-01-01,1968,0.998461043585335
1969-01-01,1969,0.977242811872469
1970-01-01,1970,1.165002666872860
1971-01-01,1971,1.264333691850940
1972-01-01,1972,1.070522752372690
1973-01-01,1973,0.954476728552297
1974-01-01,1974,0.913660196067714
1975-01-01,1975,0.985986067347125
1976-01-01,1976,0.950220048994522
1977-01-01,1977,1.005771996181340
1978-01-01,1978,1.059573080342700
1979-01-01,1979,1.103576565098990
1980-01-01,1980,0.959589922764484
1981-01-01,1981,0.981415437259678
1982-01-01,1982,0.953317566163514
1983-01-01,1983,0.914378513375149
1984-01-01,1984,0.865817336309961
1985-01-01,1985,0.886129040850881
1986-01-01,1986,0.924164157058979
1987-01-01,1987,0.893829201032046
1988-01-01,1988,0.907999040167679
1989-01-01,1989,0.944405555428529
1990-01-01,1990,1.129650520455790
1991-01-01,1991,1.336260740737790
1992-01-01,1992,1.386885692479350
1993-01-01,1993,1.318679999777410
1994-01-01,1994,1.226296088868200
1995-01-01,1995,1.190787090902090
1996-01-01,1996,1.163411619981890
1997-01-01,1997,1.203960297012720
1998-01-01,1998,1.165714526425890
1999-01-01,1999,1.148340047290550
2000-01-01,2000,1.112768996795340
2001-01-01,2001,0.989741382223669
2002-01-01,2002,0.927797485710314
2003-01-01,2003,0.859481712840946
2004-01-01,2004,0.925483968943482
2005-01-01,2005,0.921713167161207
2006-01-01,2006,0.964253917136075
2007-01-01,2007,0.951055242772428
2008-01-01,2008,0.945865287282592
2009-01-01,2009,0.876651298802912
2010-01-01,2010,0.829616674709795
2011-01-01,2011,0.726786704810745
2012-01-01,2012,0.733599941250847
2013-01-01,2013,0.692860276624581
2014-01-01,2014,0.733361519937424
2015-01-01,2015,0.736217308825420
2016-01-01,2016,0.724676067451429
2017-01-01,2017,0.632643995082560
2018-01-01,2018,0.526435395564053
2019-01-01,2019,0.455381285963537
2020-01-01,2020,0.961201051965365
2021-01-01,2021,0.118380497121458
